2022-05-19 20:05:770 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:866 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (0dadee36c42f7f17c3d79a301418403b)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:488 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:927 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:203 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:211 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 20:05:347 INFO  HomePage :41 - newAndUsedCarText : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 20:05:534 INFO  HomePage :46 - clickOnMake : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //select[@id='makes']]
2022-05-19 20:05:694 INFO  HomePage :50 - clickOnModel : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //select[@id='models']]
2022-05-19 20:05:809 INFO  HomePage :54 - clickOnLocation : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //select[@id='locations']]
2022-05-19 20:05:937 INFO  HomePage :58 - clickOnprice : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> xpath: //select[@id='priceTo']]
2022-05-19 20:05:133 INFO  HomePage :62 - clickOnFindMyNextCar : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2022-05-19 20:05:173 INFO  HomePage :65 - resultText : [[ChromeDriver: chrome on WINDOWS (cc59da05e3bcaeb5b35503a4f7491a5d)] -> css selector: div.container.search-results-container:nth-child(4) div.search-results-page.ng-scope:nth-child(1) div.row div.listing-col.listing-col-title.col-sm-16.col-md-12.col-lg-13.col.location-set:nth-child(3) > h1.listing-search-title]
2022-05-19 20:05:556 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:984 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:693 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (b54a15ffce4cbc07926256980c1ec032)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:486 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 20:05:866 INFO  HomePage :30 - clickOnBuySell : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 20:05:751 INFO  HomePage :34 - clickOnSearchCar : [[ChromeDriver: chrome on WINDOWS (ea60b7fb5ec29c1dcbae71ef24f6c854)] -> xpath: //a[contains(text(),'Search Cars')]]
